path,organisatie,productie,seizoen,persoon,gezelschap_QID,productie_QID,kunstenpunt_ID
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Needcompany_needcompany/1999-2000/Morning song/Maarten Vanden Abeele_morning-song-no-beauty-for-me-there-where-human-life-is-rare--2/morning1.jpg,Needcompany,Morning song,1999-2000,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Needcompany_needcompany/1999-2000/Morning song/Maarten Vanden Abeele_morning-song-no-beauty-for-me-there-where-human-life-is-rare--2/morningsong1.jpg,Needcompany,Morning song,1999-2000,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Needcompany_needcompany/1999-2000/Morning song/Maarten Vanden Abeele_morning-song-no-beauty-for-me-there-where-human-life-is-rare--2/morningsong5.jpg,Needcompany,Morning song,1999-2000,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2003-2004/Sum - Some of the parts/David Bergé_sum-some-of-the-parts/davidberge5.tif,p.a.r.t.s,Sum - Some of the parts,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2003-2004/Sum - Some of the parts/David Bergé_sum-some-of-the-parts/davidberge3.tif,p.a.r.t.s,Sum - Some of the parts,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2003-2004/Lobster Caravan/David Bergé_lobster-caravan/lobstercaravan_1.jpg,p.a.r.t.s,Lobster Caravan,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2003-2004/Student Performances 2003/David Bergé_p-a-r-t-s-student-performances-2003/davidberge2.tif,p.a.r.t.s,Student Performances 2003,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2003-2004/Student Performances 2003/David Bergé_p-a-r-t-s-student-performances-2003/davidberge8.tif,p.a.r.t.s,Student Performances 2003,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2003-2004/Student Performances 2003/David Bergé_p-a-r-t-s-student-performances-2003/davidberge1.tif,p.a.r.t.s,Student Performances 2003,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2003-2004/Student Performances 2003/David Bergé_p-a-r-t-s-student-performances-2003/davidberge4.tif,p.a.r.t.s,Student Performances 2003,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2004-2005/Student Performances 2004/David Bergé_p-a-r-t-s-student-performances-2004/davidberge6.tif,p.a.r.t.s,Student Performances 2004,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2004-2005/Student Performances 2004/David Bergé_p-a-r-t-s-student-performances-2004/davidberge7.tif,p.a.r.t.s,Student Performances 2004,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2004-2005/Student Performances 2004/David Bergé_p-a-r-t-s-student-performances-2004/davidberge13.tif,p.a.r.t.s,Student Performances 2004,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2004-2005/Student Performances 2004/David Bergé_p-a-r-t-s-student-performances-2004/davidberge9.tif,p.a.r.t.s,Student Performances 2004,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2004-2005/Student Performances 2004/David Bergé_p-a-r-t-s-student-performances-2004/davidberge11.tif,p.a.r.t.s,Student Performances 2004,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2004-2005/Student Performances 2004/David Bergé_p-a-r-t-s-student-performances-2004/davidberge10.tif,p.a.r.t.s,Student Performances 2004,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2004-2005/Student Performances 2004/David Bergé_p-a-r-t-s-student-performances-2004/davidberge12.tif,p.a.r.t.s,Student Performances 2004,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/p.a.r.t.s_p-a-r-t-s/2005-2006/50 - 50/Peter Lenaerts_50-50/396_Image_ingvardsen_50-50_(foto_Peter_Lenaerts).jpg,p.a.r.t.s,50 - 50,2005-2006,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/spiegels.jpg,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/isabellemes.jpg,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/abkekoenjan.jpg,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/janlorenza.jpg,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/groepliggend.jpg,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/janlorenza2.jpg,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/untitled.tif,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/geblinddoekt.jpg,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Kouwe Kind/Phile Deprez_het-kouwe-kind/abkekoenisabelle.jpg,Het Toneelhuis,Het Kouwe Kind,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Begijnenstraat 42/Phile Deprez_begijnenstraat-42/Persfoto1 begijnenstr.jpg,Het Toneelhuis,Begijnenstraat 42,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Begijnenstraat 42/Phile Deprez_begijnenstraat-42/persfoto2 begijnenstr.jpg,Het Toneelhuis,Begijnenstraat 42,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Begijnenstraat 42/Phile Deprez_begijnenstraat-42/begijnenstraat- Phile D#478.jpg,Het Toneelhuis,Begijnenstraat 42,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Peer Gynt/Phile Deprez_peer-gynt-3/V2295.jpg,Het Toneelhuis,Peer Gynt,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Tim Van Athene/Phile Deprez_tim-van-athene/paardje.jpg,Het Toneelhuis,Tim Van Athene,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Sprookjesbordeel/Dimitri Van Zeebroeck_het-sprookjesbordeel/dimitrivanzeebroeck6.jpg,Het Toneelhuis,Het Sprookjesbordeel,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Sprookjesbordeel/Dimitri Van Zeebroeck_het-sprookjesbordeel/dimitrivanzeebroeck7.jpg,Het Toneelhuis,Het Sprookjesbordeel,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Sprookjesbordeel/Dimitri Van Zeebroeck_het-sprookjesbordeel/untitled.tif,Het Toneelhuis,Het Sprookjesbordeel,2003-2004,,,,
