path,organisatie,productie,seizoen,persoon,gezelschap_QID,productie_QID,kunstenpunt_ID
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Untitled-1(Danny Willems).jpg,,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Untitled-1(foto Lieve Van Keirsbulck en Hans Librecht).jpg,,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Untitled-8.jpg,,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/4Hoog productiehuis/1998-1999/Hondeweer/Untitled-1(foto Caroline Vincart).jpg,4Hoog productiehuis,Hondeweer,1998-1999,,Q2620512,Q57513180,434476
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/A. Sreyeac Cie/2000-2001/De Beeldenmaker/Untitled-1(foto onbekend).jpg,A. Sreyeac Cie,De Beeldenmaker,2000-2001,,Q54804943,Q57508417,435287
"/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/A. Sreyeac Cie/96-97/Lander, een verhaal/Untitled-1(foto onbekend).jpg",A. Sreyeac Cie,"Lander, een verhaal",1996-1997,,Q54804943,Q57509966,431726
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Abel & Gordon/86-87/La danse des boulots/Untitled-1(foto onbekend).jpg,Abel & Gordon,La danse des boulots,1986-1987,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Action  Malaise/2001-2002/Vive l'Afrique/Untitled-1(foto Byttebier).jpg,Action  Malaise,Vive l'Afrique,2001-2002,,Q54803486,Q57506822,436820
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Adante Theatre/87-88/Marthe et le mandarin/Untitled-1(foto Paulo C. Pires).jpg,Adante Theatre,Marthe et le mandarin,1987-1988,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Adante Theatre/89-90/Binnocchio V/Untitled-1(foto onbekend).jpg,Adante Theatre,Binnocchio V,1989-1990,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Adante Theatre/89-90/Binnocchio V/Untitled-2(foto onbekend).jpg,Adante Theatre,Binnocchio V,1989-1990,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Adante Theatre/89-90/Binnocchio V/Untitled-3(foto Lou Jockens).jpg,Adante Theatre,Binnocchio V,1989-1990,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Air de C/Anobium Domesticum/Untitled-1(foto Serge Ligtenberg).jpg,Air de C,Anobium Domesticum,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Air de C/Anobium Domesticum/Untitled-2(foto Serge Ligtenberg).jpg,Air de C,Anobium Domesticum,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Aksident/87-88/Hat Wandtafereel/Untitled-1(foto onbekend).jpg,Aksident,Hat Wandtafereel,1987-1988,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Aksident/89-90/Pur Porc/Untitled-1(foto Danny van Rooy).jpg,Aksident,Pur Porc,1989-1990,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Aksident/89-90/Pur Porc/Untitled-1(foto onbekend).jpg,Aksident,Pur Porc,1989-1990,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Aksident/Seizoen onbekend/Het Wandtafereel/Untitled-1(foto onbekend).jpg,Aksident,Het Wandtafereel,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alexander Baervoets/Das Wohltemperierte Klavier/1998-1999/Untitled-4 (foto Marc Hoflack).jpg,Alexander Baervoets,Das Wohltemperierte Klavier,1998-1999,,Q54804776,Q57505850,434508
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alexander Baervoets/Ijsch/1997-1998/Untitled-1 (foto Kris Mouchaers).jpg,Alexander Baervoets,Ijsch,1997-1998,,Q21004613,Q57502925,430961
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alexander Baervoets/Ijsch/1997-1998/Untitled-5 (foto onbekend).jpg,Alexander Baervoets,Ijsch,1997-1998,,Q21004613,Q57502925,430961
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alexander Baervoets/Nievelt/1994-1995/Untitled-1 (foto onbekend).jpg,Alexander Baervoets,Nievelt,1994-1995,,Q54803345,Q57505168,430126
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alexander Baervoets/The Mapping of Canada/2000-2001/Untitled-2 (foto onbekend).jpg,Alexander Baervoets,The Mapping of Canada,2000-2001,,Q54804776,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alkyonis/2000-2001/Untitled-1(foto Kathleen Ekselmans).jpg,Alkyonis,,2000-2001,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alkyonis/2000-2001/Untitled-2(foto Ilke Christiaens).jpg,Alkyonis,,2000-2001,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alkyonis/2000-2001/Untitled-3(foto Ilke Christiaens).jpg,Alkyonis,,2000-2001,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alkyonis/2000-2001/Untitled-4(Delphine Ghandtschi).jpg,Alkyonis,,2000-2001,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Alkyonis/99-2000/Cyprus. Frauenballet/Untitled-1(foto Raymond Lemmens).jpg,Alkyonis,Cyprus. Frauenballet,1999-2000,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Angèle Albrecht/Okno/Untitled-1(foto Jerese M. Sarno).jpg,Angèle Albrecht,Okno,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Angèle Albrecht/Okno/Untitled-2(foto Jerese M. Sarno).jpg,Angèle Albrecht,Okno,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Angèle Albrecht/Okno/Untitled-3( foto Jerese M. Sarno).jpg,Angèle Albrecht,Okno,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Angèle Albrecht/Okno/Untitled-4(foto Jerese M. Sarno).jpg,Angèle Albrecht,Okno,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Angèle Albrecht/Orpheus/Untitled-1(foto Jerese M. Sarno).jpg,Angèle Albrecht,Orpheus,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Angèle Albrecht/Orpheus/Untitled-2(foto Jerese M. Sarno).jpg,Angèle Albrecht,Orpheus,,,,,
"/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Alles vrij, stoel bezet/94-95/Untitled-1(foto onbekend).jpg",anna's Steen,"Alles vrij, stoel bezet",1994-1995,,Q54804405,Q57508418,429823
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Dokter Deter/98-99/Untitled-1(Foto Rob Ten Broek).jpg,anna's Steen,Dokter Deter,1998-1999,,Q2237610,Q57509844,434356
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Dokter Deter/98-99/Untitled-2(foto Rob Ten Broek).jpg,anna's Steen,Dokter Deter,1998-1999,,Q2237610,Q57509844,434356
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Hänschen klein/96-97/Untitled-1(foto onbekend).jpg,anna's Steen,Hänschen klein,1996-1997,,Q33100551,Q57503890,430989
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Ik ben een held/95-93/Untitled-1(foto onbekend).jpg,anna's Steen,Ik ben een held,1995-1993,,Q54804405,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Ik ben een held/96-97/Untitled-1(foto onbekend).jpg,anna's Steen,Ik ben een held,1996-1997,,Q54804405,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Kikker/96-97/Untitled-1(foto Rob Ten Broek).jpg,anna's Steen,Kikker,1996-1997,,Q54804405,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Onder ons gezegd en anders gezweren/2001-2002/Untitled-1(foto onbekend).jpg,anna's Steen,Onder ons gezegd en anders gezweren,2001-2002,,Q54804405,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/anna's Steen/Vos en Haas/2001-2002/Untitled-1(foto Luc Van Put).jpg,anna's Steen,Vos en Haas,2001-2002,,Q54804405,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Annamirl van der Pluijm/Augenblick/1998-1999/Untitled-2 (foto Raymond Mallentjer).jpg,Annamirl van der Pluijm,Augenblick,1998-1999,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Annamirl van der Pluijm/Solo M/1994-1995/Untitled-1 (foto Michel Pellanders).jpg,Annamirl van der Pluijm,Solo M,1994-1995,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Annamirl van der Pluijm/Solo M/1994-1995/Untitled-3 (foto Michel Pellanders).jpg,Annamirl van der Pluijm,Solo M,1994-1995,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Annamirl van der Pluijm/Solo P/1995-1996/Untitled-1 (foto Michel Pellanders)..jpg,Annamirl van der Pluijm,Solo P,1995-1996,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Annamirl van der Pluijm/Solo P/1995-1996/Untitled-2 (foto Michel Pellanders)..jpg,Annamirl van der Pluijm,Solo P,1995-1996,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Annamirl van der Pluijm/The other me/1997-1998/Untitled-2 (foto Rob Stevens).jpg,Annamirl van der Pluijm,The other me,1997-1998,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Apen 93-13(foto Bernd Uhlig).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Apen 93-18(foto Bernd Uhlig).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Apen 93-19(foto Bernd Uhlig).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Apen 93-20(foto Bernd Uhlig).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Apen 93-22(foto Bernd Uhlig).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Apen 93. Sarajevo -21(foto Bernd Uhlig).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Apen-16(Bernd Uhlig).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/De Ark-3(foto Gerrit op de Beeck).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/De Ark-9(foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Director Silviu Purcarete. Titrus Andronicus Theater National Craiova(foto onbekend)-8.jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Forum Open Stad-7(ontwerp P. Uyttenhove).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/god van stilte. 2(foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Noordung-11(foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Noordung-12((foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Noordung-14(foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Societas Raffaelle Sanzion Amleto-10(foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Societas Raffaello Sanzio Amleto)-6.jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Studio Open Stad-5(ontwerp. P Uyttenhove).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Titus Andronicuas Theatrul National Craiova-15(foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Untitled-1(foto Bernd Uhlig).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Untitled-4(fotodienst kunsthistorische Musea).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Van al die-13(foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwculh/Antwerpen festival 93/Van al die-14(foto onbekend).jpg,Antwculh,Antwerpen festival 93,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerpen Averechts/2001-2002/Met de coiffeur op stap/Untitled-1(foto Koen Broeck).jpg,Antwerpen Averechts,Met de coiffeur op stap,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerpen Averechts/2001-2002/Met de coiffeur op stap/Untitled-2(foto Koen Broeck).jpg,Antwerpen Averechts,Met de coiffeur op stap,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerpen Averechts/2001-2002/Met de coiffeur op stap/Untitled-3(foto Koen Broos).jpg,Antwerpen Averechts,Met de coiffeur op stap,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerpen Averechts/2001-2002/Met de coiffeur op stap/Untitled-4(foto Koen Broos).jpg,Antwerpen Averechts,Met de coiffeur op stap,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerpen Averechts/2001-2002/Met de coiffeur op stap/Untitled-5(foto Koen Broos).jpg,Antwerpen Averechts,Met de coiffeur op stap,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerpen Averechts/2001-2002/Met de coiffeur op stap/Untitled-6(foto Koen Broos).jpg,Antwerpen Averechts,Met de coiffeur op stap,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerpen Averechts/2001-2002/Met de coiffeur op stap/Untitled-7(foto Koen Broos).jpg,Antwerpen Averechts,Met de coiffeur op stap,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerps Amusement/Alex Van Haecke-1(foto onbekend) .jpg,Antwerps Amusement,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium/Blessures/Untitled-1(foto Keoon).jpg,Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium,Blessures,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium/Trilogie van het weerzien/Untitled-(foto P.Seys).jpg,Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium,Trilogie van het weerzien,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium/Trilogie van het weerzien/Untitled-3(foto P.Seys).jpg,Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium,Trilogie van het weerzien,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium/Troilus en cressida/Untitled-(foto Keoon).jpg,Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium,Troilus en cressida,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium/Troilus en cressida/Untitled-1(foto Keoon).jpg,Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium,Troilus en cressida,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium/Troilus en cressida/Untitled-2(foto Keoon).jpg,Antwerps Conservatorium Toneel-koninklijk Vlaams muziekconservatorium,Troilus en cressida,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Anubis vzw/88-89/Absinthe/Untitled-1(foto onbekend).jpg,Anubis vzw,Absinthe,1988-1989,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arca Ruimte/Untitled-1(foto onbekend).jpg,Arca Ruimte,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arca Ruimte/Untitled-2(foto onbekend).jpg,Arca Ruimte,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arca Ruimte/La Luna/1992/Untitled-1(foto Frank Goethals).jpg,Arca Ruimte,La Luna,1992,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arca Ruimte/La Luna/1992/Untitled-2(foto Frank Goethals).jpg,Arca Ruimte,La Luna,1992,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arca Ruimte/La Luna/1992/Untitled-3(foto Frank Goethals).jpg,Arca Ruimte,La Luna,1992,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arca Ruimte/La Luna/1992/Untitled-4(foto onbekend).jpg,Arca Ruimte,La Luna,1992,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arca Ruimte/La Luna/1992/Untitled-5(foto onbekend).jpg,Arca Ruimte,La Luna,1992,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arno Dierichx & Paul Willemsen/Untitled-1(foto onbekend).jpg,Arno Dierichx & Paul Willemsen,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arno Dierichx & Paul Willemsen/Untitled-10(foto onbekend).jpg,Arno Dierichx & Paul Willemsen,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arno Dierichx & Paul Willemsen/Untitled-11(foto onbekend).jpg,Arno Dierichx & Paul Willemsen,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arno Dierichx & Paul Willemsen/Untitled-12(foto onbekend).jpg,Arno Dierichx & Paul Willemsen,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Arno Dierichx & Paul Willemsen/Untitled-13(foto onbekend).jpg,Arno Dierichx & Paul Willemsen,,,,,,
