,podiumkunstengezelschap,production,production_wiki_id,productietitel,theaterseizoen,searchterm,wikidata_search,wikidata_id,kunstenpunt_id,cast_member,performer,contributor
0,Theater Bas,Theater Bas,Q54803422,Bub de badeend,1996-1997,Bub de badeend (1996-1997),Bub de badeend (1996-1997),,,,,
1,Theater Bas,Theater Bas,Q54803422,Blokjerond,1999-2000,Blokjerond (1999-2000),Blokjerond (1999-2000),,,,,
2,Theater Bas,Theater Bas,Q54803422,Blokjerond,1996-1997,Blokjerond (1996-1997),Blokjerond (1996-1997),Q57508590,430960.0,Lieve Raymaekers,,Paul Contryn
3,Theater Bas,Theater Bas,Q54803422,,,,,,,Ivo Vereecken,,
4,Theater Bas,Theater Bas,Q54803422,Opa Pettson en de kat Findus,1999-2000,Opa Pettson en de kat Findus (1999-2000),Opa Pettson en de kat Findus (1999-2000),,,,,
5,Theatre Infini,,,Alice,1987-1988,Alice (1987-1988),Alice (1987-1988),,,,,
6,The Simpletones,,,De Gentenaar,1984-1985,De Gentenaar (1984-1985),De Gentenaar (1984-1985),,,,,
7,La Dea,LaDea,Q54804986,Venus & Mars,1996-1997,Venus & Mars (1996-1997),Venus & Mars (1996-1997),,,,,
8,La Dea,Vooruit,Q907677,Jan zonder Vrees,1993-1994,Jan zonder Vrees (1993-1994),Jan Zonder Vrees (1993-1994),Q57504218,429773.0,Simonne Moesen,Kaat De Windt,Charo Calvo
9,La Dea,LaDea,Q54804986,,,,,,,Charo Calvo,,
10,La Dea,LaDea,Q54804986,,,,,,,Kaat De Windt,,
11,La Dea,LaDea,Q54804986,,,,,,,Mayté Yerro,,
12,Tirasila,Plateau,Q54804695,Ubu Koning,1997-1998,Ubu Koning (1997-1998),Ubu koning (1997-1998),Q57503157,431242.0,Kris Kaerts,Philip De Jager,
13,Tirasila,Tirasila,Q54804560,,,,,,,Pé Vermeersch,,
14,Tirasila,Tirasila,Q54804560,,,,,,,Vital Schraenen,,
15,Tirasila,Tirasila,Q54804560,,,,,,,Ben Weeber,,
16,Tirasila,Tirasila,Q54804560,Quad,1996-1997,Quad (1996-1997),Quad (1996-1997),,,,,
17,Tirasila,Tirasila,Q54804560,Het laatste verlangen,1999-2000,Het laatste verlangen (1999-2000),Het laatste verlangen (1999-2000),Q57506018,435216.0,Koen Van Roy,Koen Van Roy,Helga Van Campenhout
18,Tirasila,Tirasila,Q54804560,,,,,,,Chris Carlier,Philippe Thuriot,
19,Tirasila,Tirasila,Q54804560,,,,,,,Philippe Thuriot,Chris Carlier,
20,Tirasila,Tirasila,Q54804560,De drahenboom,2001-2002,De drahenboom (2001-2002),De drahenboom (2001-2002),,,,,
21,Tirasila,Wereldculturencentrum Zuiderpershuis,Q54804680,Escurial,1995-1996,Escurial (1995-1996),Escurial (1995-1996),Q57504052,430455.0,Patrice Debry,Philip De Jager,
22,Tirasila,Nadine,Q33100232,,,,,,,Kris Kaerts,,
23,Tirasila,Tirasila,Q54804560,,,,,,,Ellen Van Den Brande,,
24,Tirasila,Tirasila,Q54804560,,,,,,,Leen Antheunis,,
25,Tirasila,Tirasila,Q54804560,,,,,,,Dominique Pollet,,
26,Tirasila,Tirasila,Q54804560,Escurial,1996-1997,Escurial (1996-1997),Escurial (1996-1997),,,,,
27,Vlinders en co,,,Valentino,1995-1996,Valentino (1995-1996),Valentino (1995-1996),,,,,
28,Vlinders en co,,,Een bos vol spoken,1995-1996,Een bos vol spoken (1995-1996),Een bos vol spoken (1995-1996),,,,,
29,Theater Scharlaken dak,Theater Scharlaken dak,Q54803499,Vijver,2000-2001,Vijver (2000-2001),Vijver (2000-2001),,,,,
30,Theater Scharlaken dak,Theater Scharlaken dak,Q54803499,Vliegers,1997-1998,Vliegers (1997-1998),Vliegers (1997-1998),Q57502695,431299.0,Ingrid Vreke,,Koen Demeyere
31,Theater Scharlaken dak,De Werf. Brugge,Q56025780,,,,,,,Bellens,,Kris Lemmens
32,Theater Scharlaken dak,Theater Scharlaken dak,Q54803499,,,,,,,Steve Beirnaert,,
33,Theater Scharlaken dak,Theater Scharlaken dak,Q54803499,,,,,,,Veerle Michiels,,
34,Sandberg,,,De nacht voor het woud,1987-1988,De nacht voor het woud (1987-1988),De nacht voor het woud (1987-1988),,,,,
35,Alexander Baervoets,Alexander Baervoets / Azuur,Q54804776,Das Wohltemperierte Klavier,1998-1999,Das Wohltemperierte Klavier (1998-1999),Das Wohltemperierte Klavier (1998-1999),Q57505850,434508.0,Alexander Baervoets,Yutaka Ōyama,Hans Meijer
36,Alexander Baervoets,De Velinx,Q21004613,Ijsch,1997-1998,Ijsch (1997-1998),Ijsch (1997-1998),Q57502925,430961.0,Mònica Marti Aguiar,Yutaka Ōyama,
37,Alexander Baervoets,ChampdAction,Q54804151,,,,,,,Alexander Baervoets,Ken-Ichi Nakagawa,
38,Alexander Baervoets,Plateau,Q54804695,,,,,,,Marie-Anne Schotte,,
39,Alexander Baervoets,Vooruit,Q907677,,,,,,,Fernando Martin,,
40,Alexander Baervoets,Alexander Baervoets / Azuur,Q54804776,,,,,,,Rosa Hermans,,
41,Alexander Baervoets,Alexander Baervoets / Azuur,Q54804776,,,,,,,Natalie McDonnell,,
42,Alexander Baervoets,Klapstukfestival,Q54803345,Nievelt,1994-1995,Nievelt (1994-1995),Nievelt (1994-1995),Q57505168,430126.0,Alexander Baervoets,Paul Panhuysen,
43,Alexander Baervoets,Alexander Baervoets / Azuur,Q54804776,,,,,,,Elpinki Constantinidis,,
44,Alexander Baervoets,Alexander Baervoets / Azuur,Q54804776,,,,,,,Enid Blyton,,
45,Alexander Baervoets,Alexander Baervoets / Azuur,Q54804776,,,,,,,Rosa Hermans,,
46,Alexander Baervoets,Alexander Baervoets / Azuur,Q54804776,,,,,,,Natalie McDonnell,,
47,Alexander Baervoets,Alexander Baervoets / Azuur,Q54804776,The Mapping of Canada,2000-2001,The Mapping of Canada (2000-2001),The Mapping of Canada (2000-2001),,,,,
48,De Factorie,Theater Teater,Q33106177,Beautiful Red Dress,2000-2001,Beautiful Red Dress (2000-2001),Beautiful Red Dress (2000-2001),Q57510865,435288.0,Ann Verhelst,,
49,De Factorie,De Factorie,Q54804659,,,,,,,Kristien De Proost,,
50,De Factorie,De Factorie,Q54804659,,,,,,,Birgit Kersbergen,,
51,De Factorie,De Factorie,Q54804659,,,,,,,Abke Haring,,
52,De Factorie,De Factorie,Q54804659,,,,,,,Kristine Van Pellicom,,
53,De Factorie,De Factorie,Q54804659,,,,,,,Daisy Ip,,
54,De Factorie,De Factorie,Q54804659,De Uitpsreker,1999-2000,De Uitpsreker (1999-2000),De Uitpsreker (1999-2000),,,,,
55,De Factorie,De Factorie,Q54804659,De Alpenzusjes,1998-1999,De Alpenzusjes (1998-1999),De Alpenzusjes (1998-1999),Q57506054,434285.0,,Nele Bauwens,
56,De Factorie,Studio Herman Teirlinck,Q2641064,,,,,,,,Dahlia Pessemiers,
57,Compagnie Doriane Moretus,,,Just want to say I love you,1991-1992,Just want to say I love you (1991-1992),Just want to say I love you (1991-1992),,,,,
58,Compagnie Doriane Moretus,,,Exils ou Y-a-t-il une vie avant la mort,1993-1994,Exils ou Y-a-t-il une vie avant la mort (1993-1994),Exils ou Y-a-t-il une vie avant la mort (1993-1994),,,,,
59,Klein & Wagner,,,Of Scheikunde,1994-1995,Of Scheikunde (1994-1995),Of Scheikunde (1994-1995),,,,,
60,Wo bist ist,,,Bei mir bist olu schön,1989-1990,Bei mir bist olu schön (1989-1990),Bei mir bist olu schön (1989-1990),,,,,
61,Teerling,,,De kleine Prins,1987-1988,De kleine Prins (1987-1988),De kleine Prins (1987-1988),,,,,
62,Teerling,,,Krapp's laatste band,1989-1990,Krapp's laatste band (1989-1990),Krapp's laatste band (1989-1990),,,,,
63,Compagnie des Galeries,,,La Revue 89,1988-1989,La Revue 89 (1988-1989),La Revue 89 (1988-1989),,,,,
64,Compagnie des Galeries,,,Les Bonshommes,1988-1989,Les Bonshommes (1988-1989),Les Bonshommes (1988-1989),,,,,
65,Compagnie des Galeries,,,"Femmes Savantes, rue de la Loi",1988-1989,"Femmes Savantes, rue de la Loi (1988-1989)","Femmes Savantes, rue de la Loi (1988-1989)",,,,,
66,Compagnie des Galeries,,,Figues après Noël,1988-1989,Figues après Noël (1988-1989),Figues après Noël (1988-1989),,,,,
67,Compagnie des Galeries,,,Pygmalion,1988-1989,Pygmalion (1988-1989),Pygmalion (1988-1989),,,,,
68,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Ghetto,1986-1987,Ghetto (1986-1987),Ghetto (1986-1987),,,,,
69,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De Schuldvraag,1986-1987,De Schuldvraag (1986-1987),De Schuldvraag (1986-1987),,,,,
70,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg (Antwerpen),Q2464575,Geleerde vrouwen,1995-1996,Geleerde vrouwen (1995-1996),Geleerde Vrouwen (1995-1996),Q57512141,430178.0,Herman Fabri,,
71,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Herbert Flack,,
72,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Camilia Blereau,,
73,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Peggy De Landtsheer,,
74,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Ivan Pecnik,,
75,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Martin Gyselinck,,
76,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Frank Aendenboom,,
77,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Anke Helsen,,
78,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Denise Zimmerman,,
79,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Chris Cauwenbergs,,
80,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Hilde Heijnen,,
81,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De Wasserij,1987-1988,De Wasserij (1987-1988),De Wasserij (1987-1988),,,,,
82,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Scapin,1987-1988,Scapin (1987-1988),Scapin (1987-1988),,,,,
83,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De archeologen,1987-1988,De archeologen (1987-1988),De archeologen (1987-1988),,,,,
84,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Romeo & Julia,1987-1988,Romeo & Julia (1987-1988),Romeo & Julia (1987-1988),,,,,
85,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Arstieten uitgang,1987-1988,Arstieten uitgang (1987-1988),Arstieten uitgang (1987-1988),,,,,
86,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Trijntje,1987-1988,Trijntje (1987-1988),Trijntje (1987-1988),,,,,
87,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De Feeks wordt getemd,1987-1988,De Feeks wordt getemd (1987-1988),De Feeks wordt getemd (1987-1988),,,,,
88,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De Vliegen,1987-1988,De Vliegen (1987-1988),De Vliegen (1987-1988),,,,,
89,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,"Ik, Feuerbach",1990-1991,"Ik, Feuerbach (1990-1991)","Ik, Feuerbach (1990-1991)",,,,,
90,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Woyzeck,1988-1989,Woyzeck (1988-1989),Woyzeck (1988-1989),,,,,
91,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Antigone,1984-1985,Antigone (1984-1985),Antigone (1984-1985),,,,,
92,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Midzomernachtsdroom,1989-1990,Midzomernachtsdroom (1989-1990),Midzomernachtsdroom (1989-1990),,,,,
93,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Het proce Xhenceval,1989-1990,Het proce Xhenceval (1989-1990),Het proce Xhenceval (1989-1990),,,,,
94,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg (Antwerpen),Q2464575,De keuken,1994-1995,De keuken (1994-1995),De keuken (1994-1995),Q57501574,429935.0,Herman Fabri,,
95,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Jan Bijvoet,,
96,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Mathias Sercu,,
97,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Alda Braeken,,
98,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Ivan Pecnik,,
99,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Ariane Van Vliet,,
100,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Anja Van Riet,,
101,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Katrien Devos,,
102,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Willy Vandermeulen,,
103,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Leo Madder,,
104,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Martin Gyselinck,,
105,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Frank Aendenboom,,
106,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Anke Helsen,,
107,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Peter Strynckx,,
108,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Bernard Verheyden,,
109,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Marilou Mermans,,
110,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Denise Zimmerman,,
111,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Bert Cosemans,,
112,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Chris Cauwenbergs,,
113,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Didier Ngoie,,
114,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Walter De Groote,,
115,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Robert de la Haye,,
116,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Blinde man,1994-1995,Blinde man (1994-1995),Blinde man (1994-1995),,,,,
117,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg (Antwerpen),Q2464575,Candide,1994-1995,Candide (1994-1995),Candide (1994-1995),Q57510366,429934.0,Herman Fabri,Roland Broux,
118,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Joke Devynck,Lutgarde De Neve,
119,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Ivan Pecnik,Guy Verhelst,
120,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Ariane Van Vliet,,
121,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Marc Lauwrys,,
122,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Marc Janssen,,
123,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Norbert Kaart,,
124,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Martin Gyselinck,,
125,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Leo Madder,,
126,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Kristin Arras,,
127,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Chris Cauwenbergs,,
128,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Starkadd,1925,Starkadd (1925),Starkadd (1925),,,,,
129,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Starkadd,1949,Starkadd (1949),Starkadd (1949),,,,,
130,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De Speler,1983-1984,De Speler (1983-1984),De Speler (1983-1984),,,,,
131,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,John Gabriel Borkman,1997-1998,John Gabriel Borkman (1997-1998),John Gabriel Borkman (1997-1998),Q57504327,431189.0,Camilia Blereau,,
132,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Martin Gyselinck,,
133,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Anke Helsen,,
134,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Leo Madder,,
135,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Denise Zimmerman,,
136,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Monika Van Lierde,,
137,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Bart Van Avermaet,,
138,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De Meeuw,1997-1998,De Meeuw (1997-1998),De meeuw (1997-1998),Q57644914,431191.0,Camilia Blereau,Bo Spaenc,
139,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Christel Vanschoonwinkel,,
140,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Hans Van Cauwenberghe,,
141,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Martin Gyselinck,,
142,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Bernard Verheyden,,
143,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Geert De Smet,,
144,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Lukas Smolders,,
145,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Gerdy Swennen,,
146,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Kristin Moers,,
147,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Walter Liekens,,
148,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Stefan Michielsen,,
149,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Dom Juan,1997-1998,Dom Juan (1997-1998),Dom Juan (1997-1998),Q57502045,431185.0,Marc Lauwrys,,
150,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Herman Fabri,,
151,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Herbert Flack,,
152,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Hans Van Cauwenberghe,,
153,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Norbert Kaart,,
154,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Carl Ridders,,
155,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Marijke Hofkens,,
156,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Willy Vandermeulen,,
157,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Bernard Verheyden,,
158,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Lies Muys,,
159,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Beatrice Nyrakibiraka,,
160,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Tom Scheltjens,,
161,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Benjamin Timmermans,,
162,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Judith Van De Voort,,
163,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Freddy Thieren,,
164,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Sofie Mora,,
165,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Rita Hendriks,,
166,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Equus,1997-1998,Equus (1997-1998),Equus (1997-1998),Q57503169,431190.0,Griet Debacker,Walter Christian Rothe,Kiki Vervloessem
167,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Nolle Versyp,,Patrick Vandewalle
168,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Walter De Cock,,
169,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Patrick Vandewalle,,
170,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Marc Reynaerts,,
171,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Leo Madder,,
172,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Kristin Arras,,
173,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Denise Zimmerman,,
174,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Jan Vandeloo,,
175,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Aron Wade,,
176,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Kadèr Gürbüz,,
177,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Luc Rogiest,,
178,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Duifje Klok,1997-1998,Duifje Klok (1997-1998),Duifje Klok (1997-1998),Q57512226,431186.0,Camilia Blereau,,
179,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Peggy De Landtsheer,,
180,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Joeri Hancké,,
181,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Kristin Arras,,
182,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Denise Zimmerman,,
183,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Gerdy Swennen,,
184,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Aron Wade,,
185,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,"Houlekijn, knecht zonder meesters",1997-1998,"Houlekijn, knecht zonder meesters (1997-1998)","Houlekijn, knecht zonder meesters (1997-1998)",,,,,
186,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De Thuiskomst,1997-1998,De Thuiskomst (1997-1998),De thuiskomst (1997-1998),Q57645040,431187.0,Karen Van Parys,,
187,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Rudy Morren,,
188,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Martin Gyselinck,,
189,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Nand Buyl,,
190,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,De domkop en de gek,1996-1997,De domkop en de gek (1996-1997),De domkop en de gek (1996-1997),Q57506548,431055.0,Marc Peeters,,
191,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,,,,,,,Peggy De Landtsheer,,
192,Koninklijke Nederlandse schouwburg,Koninklijke Nederlandse Schouwburg i.o.n.,Q54805128,Nathan de wijze,1996-1997,Nathan de wijze (1996-1997),Nathan de Wijze (1996-1997),Q57512488,430718.0,Hans Royaards,,
